ages,list_price,num_reviews,piece_count,play_star_rating,prod_desc,prod_id,prod_long_desc,review_difficulty,set_name,star_rating,theme_name,val_star_rating,country,min_age,max_age,avg_age,price_per_piece
6-12,199.99,35.0,888.0,4.7,Move heavy goods across LEGO® City with the Cargo Train!,60052.0,"Move heavy goods – and animals! – around the city with the super-powerful LEGO® City Cargo Train! This awesome motorized train with 4-channel, 7-speed, infrared remote control can transport almost anything. So it’s your job to make sure the cargo is in the right place at the right time to keep the city running smoothly. Attach the cattle wagon and 2 cargo wagons together and pull them around the circular rail track with the locomotive. Operate the forklift to move the pallets safely between the wagons and truck. Keep track of all the cargo leaving and arriving in the office at the impressive cargo train station. There you can use the sliding overhead crane with hook to move heavy cargo between vehicles or onto the ground. With so many play functions and cool features, this really is the ultimate set for train enthusiasts! Includes 4 minifigures: forklift driver, train driver, farmer and a truck driver.
Build your Cargo Train, featuring a crane with hook to load and unload heavy cargo, multiple cars and full circular train track!
Includes four minifigures: forklift driver, train driver, truck driver and farmer
LEGO City toys are compatible with all LEGO construction sets for creative building
Locomotive measures 3” high, 11” long and 2” wide. Cattle wagon measures 2” high, 5” wide and 2” deep. Fuel wagon is 3” high, 9” long and 2” wide
Cable drum wagon measure 3” high, 8” long and 2” wide. Truck measures 2” high, 5” long and 2” wide. Forklift measures 3” high, 4” long and 1” wide
888 pieces – For boys and girls ages 6 to 12",3,Cargo Train,4.4,City,3.8,US,6.0,12.0,9.0,0.22521396396396398
6-12,149.99,45.0,610.0,4.4,Get around LEGO® City fast in the High-speed Passenger Train!,60051.0,"Travel around the city in no time with the motorized LEGO® City High-speed Passenger Train! Operate the 8-channel, 7-speed infrared remote control to power around the curved tracks at top speed. This streamlined, super-efficient train has a high-speed front profile and electricity contact points on top. Lift off the roof of the front car to place the driver inside at the cool dashboard and open the passenger cars to access the seats and tables. Wait for the train with the traveler at the way station, and pedal safely across the crossing with the cyclist once the train has gone past. Includes 3 minifigures: train driver, traveler and a cyclist.
Build your own High-speed Passengre train, featuring a motorized locomotive with 8-channel, 7-speed infared remote control, removable roofs on locomotive and cars, and more!
Way station features small platform with 2 seats, map of train services, warning sign, lights and a crossing
Includes three minifigures: train driver, traveler and cyclist
LEGO City toys are compatible with all LEGO construction sets for creative building
High-speed passenger train in total measures over 4” high, 30” long and 1” wide. Front and rear cars each measure over 4” high, 10” long and 1” wide. Middle car measures 3” high, 8” long and 1” wide
Curved rail tracks each measure over 5” long and 2” wide. Straight rail tracks each measure over 5” long and 2” wide. Way station measure 2” high, 7” wide and 5” deep
610 pieces – For boys and girls ages 6 to 12",3,High-speed Passenger Train,4.4,City,4.0,US,6.0,12.0,9.0,0.24588524590163935
8-12,149.99,1.0,1250.0,5.0,Haul in fresh supplies at the exploration site!,60162.0,"Keep your camp well-supplied in the LEGO® City jungle with the Jungle Air Drop Helicopter, featuring 2 spinning rotors, a clamp system to carry the pallet platform or truck, work tower with rotating crane, riverboat that holds 2 pallets or motorbikes, a temple, collapsible bridge, movable statue, buildable Venus flytrap and a 4x4 truck with winch. Includes 7 minifigures, plus tiger, crocodile and 2 spider figures.
Includes 7 minifigures: riverboat captain, helicopter pilot, 3 explorers and 2 base camp workers, plus tiger, crocodile and 2 spider figures.
Features a side-by-side rotor helicopter, work tower, pallet transporter, 2 motorbikes, riverboat, buildable Venus flytrap, and a temple and bridge build.
Helicopter features a switch-activated clamp system to carry the included pallet platform or 4x4 truck with winch.
Work tower features a rotating and elevating crane arm.
Pallet transporter holds 3 pallets and/or 2 motorbikes
Riverboat features a minifigure cockpit and space for 2 pallets and/or motorbikes.
Venus flytrap build features a closing ‘mouth’ and space for a spider.
Temple and bridge build features a moving statue that reveals a hiding space and lever-activated collapsing bridge.
Push the switch on the helicopter’s tail to activate the clamp system and lift the pallet transporter or 4x4 truck.
Rotate the crane arm on the work tower to move the pallet transporter or pallets to and from the riverboat.
Hook the 4x4 truck’s winch to the statue to set it upright and find what’s hidden behind it.
Slide the lever out on the temple and bridge section to collapse the bridge and send the explorer tumbling into the water.
Push the top of the Venus flytrap down to trap the spider inside.
Accessory elements include 3 pallets, mobile lab, fuel box, 2 fuel cans, treasure chest, gold-colored chalice, box, machete, working magnifying glass, camera and other tools.
Side-by-side rotor helicopter including rotors measures over 5” (14cm) high, 15” (38cm) long and 22” (56cm) wide.
Riverboat measures over 2” (6cm) high, 7” (20cm) long and 3” (8cm) wide.
4x4 truck measures over 2” (7cm) high, 4” (12cm) long and 2” (7cm) wide.
Work tower measures over 7” (20cm) high, 5” (15cm) wide and 5” (13cm) deep.
Temple and bridge build measures over 4” (11cm) high, 12” (31cm) wide and 5” (14cm) deep.
Pallet transporter measures over 2” (7cm) high, 2” (6cm) wide and 5” (14cm) deep.
Each pallet measures over 1” (4cm) high, 1” (5cm) wide and 1” (3cm) deep.
Venus flytrap build measures over 3” (8cm) high, 2” (6cm) wide and 3” (9cm) deep.
Crocodile figure measures over4” (11cm) long.
Tiger figure measures over 3” (8cm) long.",3,Jungle Air Drop Helicopter,5.0,City,4.0,US,8.0,12.0,10.0,0.119992
6-12,119.99,3.0,792.0,3.3,Sail the high seas and make a thrilling rescue!,60167.0,"Strap on your life vest as part of the LEGO® City crew at the Coast Guard Headquarters with 2 levels, office rooms and a moving radar dish. There’s also a ship with opening bridge and deck, moving radar dish and searchlight, medical area and a rescue craft with launch function, as well as a helicopter with helipad, speedboat and a buildable buoy. Includes 7 minifigures, plus shark and octopus figures.
Build the bustling Headquarters of the LEGO City Coast Guard, with multiple vehicles and a full Coast Guard Squad!
Includes 7 Coast Guard minifigures, plus a shark and an octopus figure
LEGO City building toys are compatible with all LEGO construction sets for creative building
Coast Guard Ship measures over 8 inches high, 16 inches long, and 3 inches wide. 2-level Observation Headquarters measures over 8 inches high, 7 inches wide, and 5 inches deep
792 pieces – For boy and girls between the ages of 6 and 12 years old",3,Coast Guard Head Quarters,3.7,City,3.3,US,6.0,12.0,9.0,0.15150252525252525
8-12,119.99,6.0,813.0,4.5,Discover the secrets of the jungle with the LEGO® City explorers!,60161.0,"Uncover amazing things at the Jungle Exploration Site, featuring a plane wreck with opening cockpit, amphibious helicopter with minifigure cockpit, spinning rotors and winch, heavy observation truck with minifigure cab, folding crane arm, observation room and space for the included motorbike on the back, plus an amphibious vehicle with minifigure cab, and cave and temple build. Includes 7 minifigures, plus leopard, crocodile, snake, frog and 2 spider figures.
Build a Jungle Exploration Site for the Jungle Explorers to explore as they search the jungle for the mysterious golden frog statues!
Includes 7 Jungle Explorer minifigures, plus golden frog statue elements, leopard and crocodile animal elements, and 2 spider figures
LEGO City building toys are compatible with all LEGO construction sets for creative building
Helicopter measures over 3 inches high, 9 inches long, and 7 inches wide. Heavy Observation Truck measures over 3 inches high, 7 inches long, and 2 inches wide
813 pieces – For boy and girls between the ages of 8 and 12 years old",3,Jungle Exploration Site,4.3,City,4.0,US,8.0,12.0,10.0,0.1475891758917589
6-12,99.99,10.0,894.0,4.2,Throw the crooks back in jail after they break out!,60141.0,"Be part of the action with the LEGO® City police as they try to keep the crooks in jail, featuring a three-level Police Station loaded with accessory elements, a jail cell with exploding wall function, watchtower, garage and offices, helicopter, police pursuit car and police motorbike, plus the crooks’ truck with rotating, extendable cherry picker. Includes seven minifigures plus a police dog figure.
Build a three-level Police Station, including a jail cell with exploding wall function and watch tower!
Vehicles included are a helicopter, police pursuit car, police motorbike plus the crooks’ truck with rotating, extendable cherry picker
Includes 7 minifigures: four police officers and three crooks, plus a police dog figure
LEGO City building toys are compatible with all LEGO construction sets for creative building
Police Station measures over 9” high, 14” wide and 14” deep. Helicopter measures over 3” high, 7” long and 1” wide. Police pursuit car measures over 1” high, 4” long and 1” wide. Police motorbike measures over 1” high, 2” long and under 1” wide. Crooks’ truck measures over 2” high, 4” long and 1” wide
894 pieces – For boys and girls between the ages of 6 and 12",2,Police Station,4.7,City,4.0,US,6.0,12.0,9.0,0.11184563758389261
6-12,99.99,16.0,919.0,4.5,Jump into action and save the hot dog stand… and lunch!,60110.0,"Help the firefighters get the truck and helicopter loaded with gear! It’s lunchtime, so take a slide down the pole in the firehouse and head to the hot dog stand. On your way, give the firehouse dog his bone. Oh no, the hot dog stand is on fire! Pull out the fire hose and use the special stud-shooter to douse the flames and save the hot wings!
Build a fire station, truck and helicopter loaded with gear!
Includes 4 male firefighters, a female firefighter and a hot dog stand guy, plus a dog
LEGO City building toys are compatible with all LEGO construction sets for creative building
Fire Station measures over 12” high, 16” wide and 9” deep. Fire truck measures over 3” high, 9” long and 2” wide. Helicopter measures over 3” high, 6” long and 1” wide. Fire chief’s car measures over 1” high, 4” long and 1” wide. Hot dog stand measures over 2” high, 3” wide and 2” deep
919 pieces – For boys and girls between the ages of 6 and 12",3,Fire Station,4.6,City,4.6,US,6.0,12.0,9.0,0.10880304678998912
6-12,89.99,8.0,663.0,4.4,Stop the crooks from breaking their partner out of jail!,60174.0,"Pick up your badge and make an arresting visit to the LEGO® City Mountain Police Headquarters! This exciting set features a 2-level police headquarters with a net shooter on the roof, jail cell with breakout wall/door and a cave under the jail cell with a mountain lion pounce function. This cool toy for kids also includes a helipad with ladder, police helicopter with spinning rotors, crook helicopter with spinning rotors and chain with hook, police 4x4 and motocross bike. Includes 7 minifigures and a mountain lion figure.
Includes 7 minifigures: a police chief, pilot, 2 officers and 3 crooks, plus a mountain lion figure.
Features a 2-level Mountain Police Headquarters with rotating satellite dish, net shooter, garage and ramp for a vehicle, jail cell with breakout wall/door, escape ‘rope', office with desks and a cave under the jail cell with mountain lion pounce function, plus a separate helipad with ladder.
Also includes a police helicopter with spinning rotors and opening minifigure cockpit, crooks' helicopter with spinning rotors, opening minifigure cockpit and a chain with hook, police 4x4 with tall bubble light, and a police motocross bike.
Hook the chain from the crooks’ helicopter onto the jail cell wall to break out the crook.
Take off in the police helicopter and 4x4 to chase after the crooks, then prep the net shooter and launch a net at the crooks' helicopter to force it to land.
Push the lever behind the cave to pounce the mountain lion at the crooks.
Accessory elements include 2 mugs, 2 golden bars, string net, binoculars, radio, flashlight, megaphone and 3 pairs of handcuffs.
This cool toy for kids is suitable for ages 5-12.
Police helicopter measures over 2” (7cm) high, 7” (19cm) long and 6” (16cm) wide.
Crooks' helicopter measures over 3” (8cm) high, 8” (22cm) long and 6” (16cm) wide.
Police motocross bike measures over 1” (3cm) high, 2” (6cm) long and under 1” (2cm) wide.
Police 4x4 measures over 2” (6cm) high, 4” (12cm) long and 2” (6cm) wide.
Police headquarters measures over 9” (24cm) high, 9” (23cm) wide and 6” (16cm) deep.
Police helipad measures over 2” (6cm) high, 2” (8cm) wide and 2” (8cm) deep.
As seen in the LEGO® City Police TV commercial.",3,Mountain Police Headquarters,4.6,City,4.0,US,6.0,12.0,9.0,0.1357315233785822
6-12,79.99,4.0,740.0,5.0,Load up the truck and deliver the goods!,60169.0,"Join the crew keeping the citizens of LEGO® City supplied with goods from the Cargo Terminal, featuring a truck with trailer, forklift with moving blades, telehandler with an opening cockpit and telescopic arm, gatehouse with raising barrier and sliding window, and a pallet storage rack plus 4 pallets of items, including a lawnmower and water scooter, and other fun accessories. Includes 4 minifigures.
Build a busy cargo terminal and help the crew unload the supplies!
Includes 4 minifigures: office worker, 2 cargo center workers and a truck driver
LEGO City building toys are compatible with all LEGO construction sets for creative building
Truck with trailer measures over 3” high, 15” long and 2” wide. Forklift measures over 3” high, 4” long and 1” wide. Telehandler with arm extended measures over 5” high, 7” long and 2” wide. Gatehouse with barrier lowered measures over 3” high, 5” wide and 5” deep.
Storage area measures over 4” high, 5” wide and 2” deep. Each container measures over 2” high, 1” wide and 2” deep. Lawnmower measures over 1” high, 1” long and 1” wide. Water scooter measures over 1” long, 1” wide and under 1” high. LEGO® boxes combined measure over 1” wide, 1” deep and under 1” high
740 pieces – For boys and girls between the ages of 6 and 12",3,Cargo Terminal,5.0,City,4.3,US,6.0,12.0,9.0,0.10809459459459458
5-12,69.99,9.0,561.0,3.9,Protect the bank and stop the crooks!,60140.0,"Be part of the action with the LEGO® City police as they protect the bank’s safe and ATM from the crooks and their bulldozer, with a high security truck loaded with accessories, helicopter with searchlight, spinning rotors, plus the crooks’ bulldozer with chains and hooks. Includes five minifigures plus a police dog figure.
Build an entire bank heist scene with a 2-level bank and three buildable vehicles!
Use the crooks’ bulldozer to pull the safe and ATM from the bank walls, then bring in the police helicopter and truck to chase them down and capture them!
Includes female police pilot, male police specialist, female police officer, and 2 crook minifigures, plus a police dog figure and lots of accessories
LEGO City building toys are compatible with all LEGO construction sets for creative building
Bank is over 6” high, 5” wide, and 2” deep. Bulldozer is over 2” high, 4” long, and 2” wide. Helicopter is over 2” high, 6” long, and 5” wide. Police truck is over 3” high, 6” long, and 2” wide
561 pieces – For boys and girls between the ages of 5 and 12 years old",2,Bulldozer Break-in,3.3,City,3.6,US,5.0,12.0,8.5,0.12475935828877005
